director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,cast_total_facebook_likes,actor_2_facebook_likes,movie_facebook_likes,imdb_score
0,855,1000,4834,936,33000,7.9
563,1000,40000,48350,5000,0,7.1
0,161,11000,11700,393,85000,6.8
22000,23000,27000,106759,23000,164000,8.5
475,530,640,1873,632,24000,6.6
0,4000,24000,46055,11000,0,6.2
15,284,799,2036,553,29000,7.8
0,19000,26000,92000,21000,118000,7.5
282,10000,25000,58753,11000,10000,7.5
0,2000,15000,24450,4000,197000,6.9
0,903,18000,29991,10000,0,6.1
395,393,451,2023,412,0,6.7
563,1000,40000,48486,5000,5000,7.3
563,1000,40000,45757,2000,48000,6.5
0,748,15000,20495,3000,118000,7.2
80,201,22000,22697,216,0,6.6
0,19000,26000,87697,21000,123000,8.1
252,1000,40000,54083,11000,58000,6.7
188,718,10000,12572,816,40000,6.8
0,773,5000,9152,972,65000,7.5
464,963,15000,28489,10000,56000,7
0,738,891,3244,882,17000,6.7
0,773,5000,9152,972,83000,7.9
129,1000,16000,24106,6000,0,6.1
0,84,6000,7123,919,0,7.2
0,794,29000,45223,14000,26000,7.7
94,11000,21000,64798,19000,72000,8.2
532,627,14000,26679,10000,44000,5.9
365,1000,3000,8458,2000,150000,7
0,393,883,2039,563,80000,7.8
0,4000,24000,43388,11000,0,7.3
1000,3000,21000,30426,4000,95000,7.2
13000,11000,40000,79957,25000,24000,6.5
420,560,20000,21714,808,0,6.8
37,760,12000,14863,779,44000,7.3
0,464,894,3218,581,0,6
0,808,974,3988,956,56000,5.7
0,11000,44000,73441,15000,60000,6.4
464,825,15000,28631,10000,41000,6.7
364,1000,12000,25550,10000,30000,6.8
487,776,1000,4482,919,10000,6.3
258,326,16000,17657,368,24000,5.6
125,721,15000,19085,1000,30000,8.3
368,988,23000,27468,3000,0,6.6
0,14000,26000,79150,23000,94000,7.2
395,1000,17000,32392,11000,129000,7
0,20000,34000,91434,22000,82000,8
14000,928,19000,21411,981,92000,7.8
0,140,979,1766,557,22000,6.3
1000,77,29000,29770,509,115000,7.3
179,236,15000,16149,567,23000,6.6
0,919,16000,19166,968,83000,7
0,581,894,2593,829,46000,6.3
14000,1000,11000,14959,1000,5000,6.2
113,113,275,696,150,20000,6.8
56,838,2000,5005,1000,39000,7.2
681,105,998,1327,119,30000,7.5
475,522,1000,2975,729,16000,8.4
420,173,268,1125,268,0,6.2
776,310,1000,2144,468,13000,5.8
0,10000,18000,48878,14000,0,6.8
0,13000,17000,47334,15000,44000,5.4
282,103,11000,21175,10000,29000,6.6
80,82,1000,1317,190,0,6.9
0,1000,34000,49684,13000,54000,7.3
22000,11000,23000,57802,13000,37000,9
0,262,1000,2635,848,27000,8.3
11,459,1000,2579,973,0,6.5
4000,4000,21000,39252,12000,10000,7.9
17000,1000,17000,36017,16000,42000,7.5
188,582,10000,15870,4000,0,4.8
357,595,5000,9131,3000,0,5.2
452,329,10000,11287,336,80000,6.9
293,7000,87000,108016,11000,2000,5.4
218,509,10000,12652,854,77000,7.9
58,60,711,1004,60,0,6.1
208,570,23000,26683,2000,0,5.8
0,384,1000,2944,767,118000,8.3
4000,591,19000,32921,13000,65000,7.8
4000,4000,21000,48638,19000,18000,7
274,11000,26000,72881,17000,53000,6.1
171,846,11000,15516,2000,89000,7
198,884,10000,14363,2000,45000,7.6
596,283,622,1982,525,677,4.5
47,982,18000,20965,1000,35000,6.3
94,2000,19000,36188,11000,55000,7.8
31,213,4000,4628,225,0,6.4
663,604,2000,5046,638,37000,6.5
38,562,756,2963,719,41000,7.9
66,833,975,4451,931,40000,7.8
0,267,15000,16264,726,10000,6.6
776,535,890,3233,812,67000,5.5
255,759,18000,20453,953,33000,8.2
84,191,648,1769,284,0,6.4
571,3000,14000,32438,14000,96000,8.1
22000,6000,11000,31488,11000,349000,8.6
22000,23000,29000,81115,27000,175000,8.8
